PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 28394 Generations: 1012 Cycletime: 1
Spiralint: 28427 Generations: 1414 Cycletime: 1
Spiralint: 28435 Generations: 1414 Cycletime: 1
Spiralint: 28500 Generations: 1345 Cycletime: 1
Spiralint: 28953 Generations: 1151 Cycletime: 1
Spiralint: 29172 Generations: 1188 Cycletime: 1
Spiralint: 29209 Generations: 1151 Cycletime: 1
Spiralint: 29498 Generations: 1102 Cycletime: 1
Spiralint: 29530 Generations: 1102 Cycletime: 1
Spiralint: 29645 Generations: 1206 Cycletime: 1
Spiralint: 29657 Generations: 1203 Cycletime: 1
Spiralint: 29812 Generations: 1062 Cycletime: 1
Spiralint: 30537 Generations: 1252 Cycletime: 1
Spiralint: 30557 Generations: 1205 Cycletime: 1
Spiralint: 30567 Generations: 1251 Cycletime: 1
Spiralint: 30601 Generations: 1252 Cycletime: 1
Spiralint: 30613 Generations: 1005 Cycletime: 1
Spiralint: 30683 Generations: 1070 Cycletime: 1
Spiralint: 30729 Generations: 1282 Cycletime: 1
Spiralint: 30779 Generations: 1280 Cycletime: 1
Spiralint: 30793 Generations: 1281 Cycletime: 1
Spiralint: 30834 Generations: 2285 Cycletime: 1
Spiralint: 30888 Generations: 1281 Cycletime: 1
Spiralint: 30994 Generations: 1331 Cycletime: 1
Spiralint: 31000 Generations: 1281 Cycletime: 1
Spiralint: 31088 Generations: 2285 Cycletime: 1
Spiralint: 31188 Generations: 1414 Cycletime: 1
Spiralint: 31272 Generations: 1282 Cycletime: 1
Spiralint: 31275 Generations: 1027 Cycletime: 1
Spiralint: 31314 Generations: 1331 Cycletime: 1
Spiralint: 31336 Generations: 1281 Cycletime: 1
Spiralint: 31361 Generations: 1059 Cycletime: 1
Spiralint: 31486 Generations: 1189 Cycletime: 1
Spiralint: 31529 Generations: 1027 Cycletime: 1
Spiralint: 31658 Generations: 1938 Cycletime: 1
Spiralint: 31707 Generations: 2439 Cycletime: 1
Spiralint: 31739 Generations: 1548 Cycletime: 1
Spiralint: 31740 Generations: 1005 Cycletime: 1
Spiralint: 31752 Generations: 1200 Cycletime: 1
Spiralint: 31816 Generations: 1200 Cycletime: 1
Spiralint: 31845 Generations: 1159 Cycletime: 1
Spiralint: 31857 Generations: 1338 Cycletime: 1
Spiralint: 31941 Generations: 1504 Cycletime: 1
Spiralint: 32003 Generations: 1022 Cycletime: 1
Spiralint: 32042 Generations: 1233 Cycletime: 1
Spiralint: 32382 Generations: 1508 Cycletime: 1
Spiralint: 32388 Generations: 1037 Cycletime: 1
Spiralint: 32609 Generations: 1382 Cycletime: 1
Spiralint: 32630 Generations: 1099 Cycletime: 1
Spiralint: 32636 Generations: 1508 Cycletime: 1
Spiralint: 32648 Generations: 1234 Cycletime: 1
Spiralint: 32717 Generations: 1184 Cycletime: 1
Spiralint: 32721 Generations: 1779 Cycletime: 1
Spiralint: 32725 Generations: 1184 Cycletime: 1
Spiralint: 32811 Generations: 1147 Cycletime: 1
Spiralint: 32939 Generations: 1146 Cycletime: 1
Spiralint: 32967 Generations: 1146 Cycletime: 1
Spiralint: 33414 Generations: 1147 Cycletime: 1
Spiralint: 33739 Generations: 1143 Cycletime: 1
Spiralint: 33762 Generations: 1144 Cycletime: 1
Spiralint: 33774 Generations: 1939 Cycletime: 1
Spiralint: 33782 Generations: 1104 Cycletime: 1
Spiralint: 33964 Generations: 1202 Cycletime: 1
Spiralint: 34057 Generations: 1203 Cycletime: 1
Spiralint: 34156 Generations: 1202 Cycletime: 1
Spiralint: 34266 Generations: 1088 Cycletime: 1
Spiralint: 34269 Generations: 1343 Cycletime: 1
Spiralint: 34554 Generations: 1138 Cycletime: 1
Spiralint: 34633 Generations: 1144 Cycletime: 1
Spiralint: 34697 Generations: 1144 Cycletime: 1
Spiralint: 34781 Generations: 1343 Cycletime: 1
Spiralint: 34787 Generations: 1143 Cycletime: 1
Spiralint: 34789 Generations: 1143 Cycletime: 1
Spiralint: 34812 Generations: 1098 Cycletime: 1
Spiralint: 35142 Generations: 1203 Cycletime: 1
